module,name,kind,internal_count,src_count,dev_count,test_count,comment
glimra/oniguruma_parser/parser/ast_types,NamedCalloutKind,type,1,4,0,2,
glimra/oniguruma_parser/parser/ast_types,RegexNode,type,4,32,0,3,
glimra/oniguruma_parser/parser/ast_types,OnigurumaAst,type,1,4,0,0,
glimra/oniguruma_parser/parser/ast_types,AlternativeNode,type,7,109,0,2,
glimra/oniguruma_parser/parser/ast_types,AssertionNode,type,3,16,0,2,
glimra/oniguruma_parser/parser/ast_types,BackreferenceNode,type,4,20,0,2,
glimra/oniguruma_parser/parser/ast_types,BackreferenceRef,type,1,6,0,2,
glimra/oniguruma_parser/parser/ast_types,CapturingGroupNode,type,4,75,0,3,
glimra/oniguruma_parser/parser/ast_types,CharacterNode,type,6,26,0,2,
glimra/oniguruma_parser/parser/ast_types,CharacterClassNode,type,5,41,0,2,
glimra/oniguruma_parser/parser/ast_types,CharacterClassRangeNode,type,3,8,0,2,
glimra/oniguruma_parser/parser/ast_types,CharacterSetNode,type,5,28,0,2,
glimra/oniguruma_parser/parser/ast_types,DirectiveNode,type,3,9,0,2,
glimra/oniguruma_parser/parser/ast_types,FlagsNode,type,3,12,0,2,
glimra/oniguruma_parser/parser/ast_types,TextSegmentMode,type,1,4,0,2,
glimra/oniguruma_parser/parser/ast_types,GroupNode,type,4,36,0,2,
glimra/oniguruma_parser/parser/ast_types,LookaroundAssertionNode,type,3,35,0,2,
glimra/oniguruma_parser/parser/ast_types,NamedCalloutNode,type,3,8,0,2,
glimra/oniguruma_parser/parser/ast_types,CalloutArg,type,1,0,0,2,
glimra/oniguruma_parser/parser/ast_types,AbsenceFunctionNode,type,4,21,0,2,
glimra/oniguruma_parser/parser/ast_types,QuantifierNode,type,4,28,0,2,
glimra/oniguruma_parser/parser/ast_types,quantifier_max_infinity,const,0,5,0,1,
glimra/oniguruma_parser/parser/ast_types,SubroutineNode,type,4,23,0,2,
glimra/oniguruma_parser/parser/ast_types,SubroutineRef,type,1,2,0,2,
glimra/oniguruma_parser/parser/ast_types,Node,type,1,27,2,0,
glimra/oniguruma_parser/parser/ast_types,AlternativeElement,type,3,74,0,2,
glimra/oniguruma_parser/parser/ast_types,CharacterClassElement,type,1,45,0,2,
glimra/oniguruma_parser/parser/ast_types,QuantifiableNode,type,3,21,0,1,
glimra/oniguruma_parser/parser/ast_types,FlagGroupSwitches,type,3,18,0,2,
glimra/oniguruma_parser/parser/ast_types,FlagGroupModifiers,type,3,31,0,2,
glimra/oniguruma_parser/parser/ast_types,element_to_quantifiable,fn,0,2,0,0,
glimra/oniguruma_parser/parser/tokenizer,TokenizeOptions,type,4,2,0,0,
glimra/oniguruma_parser/parser/tokenizer,default_options,fn,0,1,0,2,
glimra/oniguruma_parser/parser/tokenizer,tokenize,fn,1,9,0,0,
/Users/s0001325/repos/glimra/count_usages.sh: line 74: [[: 0
0: syntax error in expression (error token is "0")
/Users/s0001325/repos/glimra/count_usages.sh: line 74: [[: 0
0: syntax error in expression (error token is "0")
glimra/oniguruma_parser/traverser,Path,type,3,0,0,0,internal_only
/Users/s0001325/repos/glimra/count_usages.sh: line 74: [[: 0
0: syntax error in expression (error token is "0")
/Users/s0001325/repos/glimra/count_usages.sh: line 74: [[: 0
0: syntax error in expression (error token is "0")
glimra/oniguruma_parser/traverser,PathKey,type,1,0,0,0,internal_only
/Users/s0001325/repos/glimra/count_usages.sh: line 74: [[: 0
0: syntax error in expression (error token is "0")
/Users/s0001325/repos/glimra/count_usages.sh: line 74: [[: 0
0: syntax error in expression (error token is "0")
glimra/oniguruma_parser/traverser,Visitor,type,27,0,0,0,internal_only
/Users/s0001325/repos/glimra/count_usages.sh: line 74: [[: 0
0: syntax error in expression (error token is "0")
/Users/s0001325/repos/glimra/count_usages.sh: line 74: [[: 0
0: syntax error in expression (error token is "0")
glimra/oniguruma_parser/traverser,VisitorFn,type,18,0,0,0,internal_only
/Users/s0001325/repos/glimra/count_usages.sh: line 74: [[: 0
0: syntax error in expression (error token is "0")
/Users/s0001325/repos/glimra/count_usages.sh: line 74: [[: 0
0: syntax error in expression (error token is "0")
glimra/oniguruma_parser/traverser,VisitResult,type,1,0,0,0,internal_only
glimra/oniguruma_parser/traverser,traverse,fn,0,1,0,0,
glimra/oniguruma_parser/unicode,UnicodePropertyMap,type,0,3,0,0,
glimra/oniguruma_parser/unicode,is_posix_class_name,fn,0,1,0,0,
glimra/oniguruma_parser/unicode,slug,fn,0,1,0,0,
glimra/oniguruma_parser/unicode,normalize_property_name,fn,0,1,0,0,
dev/codegen,main,fn,0,10,0,1,
dev/codegen,builder_api_tests,fn,0,0,0,1,
dev/codegen,query_api_tests,fn,0,0,0,1,
dev/codegen,token_options_tests,fn,0,0,0,1,
